Food Item,Food Group,Macronutrient Focus,Is Vitamin-Rich,Is Mineral-Rich,Is Vegan,Is Vegetarian,Is Gluten-Free,Is Dairy-Free,Is Nut-Free (General),Is Halal,Is Kosher,Processing Level,Culinary Usage,Health Impact,Contains Gluten,Contains Milk,Contains Eggs,Contains Fish,Contains Shellfish,Contains Peanuts,Contains Tree Nuts,Contains Soybeans,Contains Sesame,Contains Mustard,Contains Celery,Contains Sulphites
"Potato, mashed, NFS",Vegetables; Dairy; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,Y,Y,Y,Processed,Side Dish,Moderate,N,Y,N,N,N,N,N,N,N,N,N,N
"Potato, mashed, from fast food",Vegetables; Dairy; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,Y,Y,Y,Highly Processed,Side Dish,Unhealthy,N,Y,N,N,N,N,N,Variable,N,N,N,Variable
"Potato, mashed, from fast food, with gravy",Composite Meal; Vegetables; Dairy; Oils and fats; Condiments,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,Y,Y,Y,Highly Processed,Side Dish,Unhealthy,Y,Y,N,N,N,N,N,Variable,N,N,N,Variable
"Potato, mashed, ready-to-heat",Vegetables; Dairy; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,Y,Y,Y,Highly Processed,Side Dish; Convenience Food,Moderate,N,Y,N,N,N,N,N,Variable,N,N,N,Variable
"Potato, mashed, from fresh, made with milk",Vegetables; Dairy; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,Y,Y,Y,Processed,Side Dish,Moderate,N,Y,N,N,N,N,N,N,N,N,N,N
"Potato, mashed, from fresh, made with milk, with cheese",Composite Meal; Vegetables; Dairy; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,N,Y,Y,Processed,Side Dish,Unhealthy,N,Y,N,N,N,N,N,N,N,N,N,N
"Potato, mashed, from fresh, made with milk, with gravy",Composite Meal; Vegetables; Dairy; Oils and fats; Condiments,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,Y,Y,Y,Processed,Side Dish,Moderate,Y,Y,N,N,N,N,N,Variable,N,N,N,Variable
"Potato, mashed, from fresh, NFS",Vegetables; Dairy; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,Y,Y,Y,Processed,Side Dish,Moderate,N,Y,N,N,N,N,N,N,N,N,N,N
"Potato, mashed, from restaurant",Vegetables; Dairy; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,Y,Y,Y,Highly Processed,Side Dish,Unhealthy,N,Y,N,N,N,N,N,N,N,N,N,N
"Potato, mashed, from restaurant, with gravy",Composite Meal; Vegetables; Dairy; Oils and fats; Condiments,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,Y,Y,Y,Highly Processed,Side Dish,Unhealthy,Y,Y,N,N,N,N,N,Variable,N,N,N,Variable
"Potato, mashed, from school lunch",Vegetables; Dairy; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,Y,Y,Y,Highly Processed,Side Dish,Unhealthy,N,Y,N,N,N,N,N,Variable,N,N,N,Variable
"Potato, mashed, from dry mix, NFS",Vegetables; Dairy; Oils and fats,Carbohydrate-rich,N,Y,N,Y,N,N,Y,Y,Y,Highly Processed,Side Dish,Unhealthy,N,Y,N,N,N,N,N,Variable,N,N,N,Variable
"Potato, mashed, from dry mix, made with milk",Composite Meal; Vegetables; Dairy; Oils and fats,Carbohydrate-rich; Fat-rich,N,Y,N,Y,N,N,Y,Y,Y,Highly Processed,Side Dish,Moderate,N,Y,N,N,N,N,N,Variable,N,N,N,Variable
"Potato, mashed, from dry mix, made with milk, with cheese",Composite Meal; Vegetables; Dairy; Oils and fats,Carbohydrate-rich; Fat-rich,N,Y,N,Y,N,N,N,Y,Y,Highly Processed,Side Dish,Unhealthy,N,Y,N,N,N,N,N,Variable,N,N,N,Variable
"Potato, mashed, from dry mix, made with milk, with gravy",Composite Meal; Vegetables; Dairy; Oils and fats; Condiments,Carbohydrate-rich; Fat-rich,N,Y,N,Y,N,N,Y,Y,Y,Highly Processed,Side Dish,Unhealthy,Y,Y,N,N,N,N,N,Variable,N,N,N,Variable
"Potato, mashed, ready-to-heat, NFS",Vegetables; Dairy; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,Y,Y,Y,Highly Processed,Side Dish; Convenience Food,Moderate,N,Y,N,N,N,N,N,Variable,N,N,N,Variable
"Potato, mashed, ready-to-heat, with cheese",Composite Meal; Vegetables; Dairy; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,N,Y,Y,Highly Processed,Side Dish,Unhealthy,N,Y,N,N,N,N,N,Variable,N,N,N,Variable
"Potato, mashed, ready-to-heat, with gravy",Composite Meal; Vegetables; Dairy; Oils and fats; Condiments,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,Y,Y,Y,Highly Processed,Side Dish,Unhealthy,Y,Y,N,N,N,N,N,Variable,N,N,N,Variable
Potato patty,Vegetables; Grains; Oils and fats,Carbohydrate-rich; Fat-rich,N,N,Y,Y,N,Y,Y,Y,Y,Highly Processed,Side Dish; Breakfast Item,Moderate,Y,N,Variable,N,N,N,N,N,N,N,N,N
"Potato tots, NFS",Vegetables; Oils and fats; Grains,Carbohydrate-rich; Fat-rich,N,N,Y,Y,Y,Y,Y,Y,Y,Highly Processed,Side Dish; Snack,Unhealthy,Variable,N,N,N,N,N,N,Variable,N,N,N,N
"Potato tots, fast food / restaurant",Vegetables; Oils and fats,Carbohydrate-rich; Fat-rich,N,N,Y,Y,Y,Y,Y,Y,Y,Highly Processed,Side Dish; Snack,Unhealthy,N,N,N,N,N,N,N,Variable,N,N,N,N
"Potato tots, school",Vegetables; Oils and fats,Carbohydrate-rich; Fat-rich,N,N,Y,Y,Y,Y,Y,Y,Y,Highly Processed,Side Dish,Unhealthy,N,N,N,N,N,N,N,Variable,N,N,N,N
"Potato tots, from fresh, fried or baked",Vegetables; Oils and fats,Carbohydrate-rich; Fat-rich,N,N,Y,Y,Y,Y,Y,Y,Y,Processed,Side Dish,Moderate,Variable,N,Variable,N,N,N,N,N,N,N,N,N
"Potato tots, frozen, baked",Vegetables; Oils and fats; Grains,Carbohydrate-rich,N,N,Y,Y,Y,Y,Y,Y,Y,Highly Processed,Side Dish; Snack,Moderate,Variable,N,N,N,N,N,N,Variable,N,N,N,Variable
"Potato tots, frozen, fried",Vegetables; Oils and fats,Carbohydrate-rich; Fat-rich,N,N,Y,Y,Y,Y,Y,Y,Y,Highly Processed,Side Dish; Snack,Unhealthy,Variable,N,N,N,N,N,N,Variable,N,N,N,Variable
"Potato tots, frozen, NS as to fried or baked",Vegetables; Oils and fats,Carbohydrate-rich; Fat-rich,N,N,Y,Y,Y,Y,Y,Y,Y,Highly Processed,Side Dish; Snack,Unhealthy,Variable,N,N,N,N,N,N,Variable,N,N,N,Variable
"Potato, baked, peel not eaten, with butter",Vegetables; Dairy; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,Y,N,N,Processed,Side Dish,Moderate,N,Y,N,N,N,N,N,N,N,N,N,N
"Potato, baked, peel not eaten, with sour cream",Vegetables; Dairy; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,N,N,N,Processed,Side Dish,Moderate,N,Y,N,N,N,N,N,N,N,N,N,N
"Potato, baked, peel not eaten, with cheese",Vegetables; Dairy,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,N,N,N,Processed,Side Dish,Moderate,N,Y,N,N,N,N,N,N,N,N,N,N
"Potato, baked, peel not eaten, with meat",Composite Meal; Vegetables; Proteins; Condiments,Balanced,Y,Y,N,N,N,N,Y,Variable,N,Processed,Meal; Side Dish,Moderate,Variable,Variable,N,N,N,N,N,Variable,N,N,N,Variable
"Potato, baked, peel not eaten, with chili",Composite Meal; Vegetables; Proteins; Legumes,Balanced,Y,Y,N,N,N,N,Y,Variable,N,Processed,Meal; Side Dish,Moderate,Variable,N,N,N,N,N,N,Variable,N,N,N,Variable
"Potato, baked, peel not eaten, with vegetables",Composite Meal; Vegetables; Dairy,Carbohydrate-rich,Y,Y,Y,Y,N,N,Y,Y,Y,Processed,Meal; Side Dish,Healthy,N,Variable,N,N,N,N,N,N,N,N,Variable,N
"Potato, baked, peel eaten",Vegetables,Carbohydrate-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Minimally Processed,Side Dish; Meal Base,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Potato, baked, peel eaten, with butter",Vegetables; Dairy; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,Y,N,N,Processed,Side Dish,Moderate,N,Y,N,N,N,N,N,N,N,N,N,N
"Potato, baked, peel eaten, with sour cream",Vegetables; Dairy; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,N,N,N,Processed,Side Dish,Moderate,N,Y,N,N,N,N,N,N,N,N,N,N
"Potato, baked, peel eaten, with cheese",Vegetables; Dairy,Carbohydrate-rich; Fat-rich,Y,Y,N,Y,N,N,N,N,N,Processed,Side Dish,Moderate,N,Y,N,N,N,N,N,N,N,N,N,N
"Potato, baked, peel eaten, with meat",Composite Meal; Vegetables; Proteins; Condiments,Balanced,Y,Y,N,N,N,N,Y,Variable,N,Processed,Meal; Side Dish,Moderate,Variable,Variable,N,N,N,N,N,Variable,N,N,N,Variable
"Potato, baked, peel eaten, with chili",Composite Meal; Vegetables; Proteins; Legumes,Balanced,Y,Y,N,N,N,N,Y,Variable,N,Processed,Meal; Side Dish,Moderate,Variable,N,N,N,N,N,N,Variable,N,N,N,Variable
"Potato, baked, peel eaten, with vegetables",Composite Meal; Vegetables; Dairy,Carbohydrate-rich,Y,Y,Y,Y,N,N,Y,Y,Y,Processed,Meal; Side Dish,Healthy,N,Variable,N,N,N,N,N,N,N,N,Variable,N
"Potato salad with egg, from restaurant",Composite Meal; Vegetables; Proteins; Condiments; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,N,N,N,Y,N,Y,Highly Processed,Side Dish,Unhealthy,N,Variable,Y,N,N,N,N,Variable,N,Variable,Variable,N
"Potato salad with egg, made with mayonnaise",Composite Meal; Vegetables; Proteins; Condiments; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,N,N,N,Y,N,Y,Processed,Side Dish,Moderate,N,Variable,Y,N,N,N,N,Variable,N,Variable,Variable,N
"Potato salad with egg, made with light mayonnaise",Composite Meal; Vegetables; Proteins; Condiments; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,N,N,N,Y,N,Y,Processed,Side Dish,Moderate,N,Variable,Y,N,N,N,N,Variable,N,Variable,Variable,N
"Potato salad with egg, made with mayonnaise-type salad dressing",Composite Meal; Vegetables; Proteins; Condiments; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,N,N,N,Y,N,Y,Processed,Side Dish,Moderate,N,Variable,Y,N,N,N,N,Variable,N,Variable,Variable,N
"Potato salad with egg, made with light mayonnaise-type salad dressing",Composite Meal; Vegetables; Proteins; Condiments; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,N,N,N,Y,N,Y,Processed,Side Dish,Moderate,N,Variable,Y,N,N,N,N,Variable,N,Variable,Variable,N
"Potato salad with egg, made with creamy dressing",Composite Meal; Vegetables; Proteins; Condiments; Oils and fats; Dairy,Carbohydrate-rich; Fat-rich,Y,Y,N,N,N,N,Y,N,Y,Processed,Side Dish,Moderate,N,Y,Y,N,N,N,N,Variable,N,Variable,Variable,N
"Potato salad with egg, made with light creamy dressing",Composite Meal; Vegetables; Proteins; Condiments; Oils and fats; Dairy,Carbohydrate-rich; Fat-rich,Y,Y,N,N,N,N,Y,N,Y,Processed,Side Dish,Moderate,N,Y,Y,N,N,N,N,Variable,N,Variable,Variable,N
"Potato salad with egg, made with Italian dressing",Composite Meal; Vegetables; Proteins; Condiments; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,N,N,N,Y,N,Y,Processed,Side Dish,Moderate,N,N,Y,N,N,N,N,Variable,N,Variable,Variable,N
"Potato salad with egg, made with light Italian dressing",Composite Meal; Vegetables; Proteins; Condiments; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,N,N,N,N,Y,N,Y,Processed,Side Dish,Healthy,N,N,Y,N,N,N,N,Variable,N,Variable,Variable,N
"Potato salad with egg, made with any type of fat free dressing",Composite Meal; Vegetables; Proteins; Condiments,Carbohydrate-rich,Y,Y,N,N,N,N,Y,N,Y,Processed,Side Dish,Healthy,N,N,Y,N,N,N,N,Variable,N,Variable,Variable,N
"Potato salad, German style",Composite Meal; Vegetables; Proteins; Condiments; Oils and fats,Carbohydrate-rich; Fat-rich,Y,N,N,N,N,N,Y,N,Y,Processed,Side Dish,Moderate,N,N,N,N,N,N,N,N,N,Y,N,N
"Potato salad, from restaurant",Composite Meal; Vegetables; Condiments; Oils and fats,Carbohydrate-rich; Fat-rich,Y,N,N,Y,N,N,Y,N,Y,Highly Processed,Side Dish,Unhealthy,N,Variable,Variable,N,N,N,N,Variable,N,Variable,Variable,N
"Potato salad, made with mayonnaise",Composite Meal; Vegetables; Condiments; Oils and fats,Carbohydrate-rich; Fat-rich,Y,N,N,Y,N,N,Y,N,Y,Processed,Side Dish,Moderate,N,Variable,Y,N,N,N,N,Variable,N,Variable,Variable,N
"Potato salad, made with light mayonnaise",Composite Meal; Vegetables; Condiments; Oils and fats,Carbohydrate-rich; Fat-rich,Y,N,N,Y,N,N,Y,N,Y,Processed,Side Dish,Moderate,N,Variable,Y,N,N,N,N,Variable,N,Variable,Variable,N
"Potato salad, made with mayonnaise-type salad dressing",Composite Meal; Vegetables; Condiments; Oils and fats,Carbohydrate-rich; Fat-rich,Y,N,N,Y,N,N,Y,N,Y,Processed,Side Dish,Moderate,N,Variable,Y,N,N,N,N,Variable,N,Variable,Variable,N
"Potato salad, made with light mayonnaise-type salad dressing",Composite Meal; Vegetables; Condiments; Oils and fats,Carbohydrate-rich; Fat-rich,Y,N,N,Y,N,N,Y,N,Y,Processed,Side Dish,Moderate,N,Variable,Y,N,N,N,N,Variable,N,Variable,Variable,N
"Potato salad, made with creamy dressing",Composite Meal; Vegetables; Condiments; Oils and fats; Dairy,Carbohydrate-rich; Fat-rich,Y,N,N,Y,N,N,Y,N,Y,Processed,Side Dish,Moderate,N,Y,Variable,N,N,N,N,Variable,N,Variable,Variable,N
"Potato salad, made with light creamy dressing",Composite Meal; Vegetables; Condiments; Oils and fats; Dairy,Carbohydrate-rich; Fat-rich,Y,N,N,Y,N,N,Y,N,Y,Processed,Side Dish,Moderate,N,Y,Variable,N,N,N,N,Variable,N,Variable,Variable,N
"Potato salad, made with Italian dressing",Composite Meal; Vegetables; Condiments; Oils and fats,Carbohydrate-rich; Fat-rich,Y,N,N,Y,N,Y,Y,Y,Y,Processed,Side Dish,Moderate,N,N,N,N,N,N,N,Variable,N,Variable,Variable,N
"Potato salad, made with light Italian dressing",Composite Meal; Vegetables; Condiments; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Processed,Side Dish,Healthy,N,N,N,N,N,N,N,Variable,N,Variable,Variable,Variable
"Potato salad, made with any type of fat free dressing",Composite Meal; Vegetables; Condiments,Carbohydrate-rich,Y,N,N,Y,N,Y,Y,Y,Y,Processed,Side Dish,Healthy,N,N,N,N,N,N,N,Variable,N,Variable,Variable,N
Potato pancake,Vegetables; Grains; Proteins; Oils and fats,Carbohydrate-rich; Fat-rich,Y,N,Y,Y,N,N,Y,N,Y,Processed,Side Dish; Appetizer,Moderate,Y,N,Y,N,N,N,N,N,N,N,N,N
Lefse,Grains; Vegetables; Dairy,Carbohydrate-rich,N,N,Y,Y,N,N,Y,Y,Y,Processed,Bread; Wrap,Moderate,Y,Y,N,N,N,N,N,N,N,N,N,N
Stewed potatoes,Vegetables; Oils and fats; Condiments,Carbohydrate-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Processed,Side Dish,Healthy,N,Variable,N,N,N,N,N,N,N,N,N,N
Stewed potatoes with tomatoes,Vegetables; Oils and fats,Carbohydrate-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Processed,Side Dish,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Soup, potato",Composite Meal; Vegetables; Dairy; Condiments,Carbohydrate-rich,Y,Y,Y,Y,N,N,Y,Y,Y,Processed,Soup; Meal,Moderate,Y,Y,N,N,N,N,N,N,N,N,Y,N
"Soup, potato with meat",Composite Meal; Vegetables; Proteins; Dairy; Condiments,Balanced,Y,Y,N,N,N,N,Y,Variable,Variable,Processed,Soup; Meal,Moderate,Y,Y,N,N,N,N,N,Variable,N,N,Y,Variable
"Plantain, cooked, no added fat",Fruits; Vegetables,Carbohydrate-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Minimally Processed,Side Dish; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Plantain, cooked with oil",Fruits; Vegetables; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Processed,Side Dish; Snack,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,N
"Plantain, raw",Fruits; Vegetables,Carbohydrate-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Unprocessed,Ingredient,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,N
"Plantain, cooked, fat added, NS as to fat type",Fruits; Vegetables; Oils and fats,Carbohydrate-rich; Fat-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Processed,Side Dish,Moderate,N,N,N,N,N,N,N,N,N,N,N,N
"Plantain, cooked with butter or margarine",Fruits; Vegetables; Oils and fats; Dairy,Carbohydrate-rich; Fat-rich,Y,Y,Y,Y,N,Y,Variable,Y,Y,Processed,Side Dish,Moderate,N,Y,N,N,N,N,N,Variable,N,N,N,N
Plantain chips,Fruits; Vegetables; Oils and fats; Sweets and snacks,Carbohydrate-rich; Fat-rich,N,N,Y,Y,Y,Y,Y,Y,Y,Highly Processed,Snack Chip,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,N
"Cassava, cooked",Vegetables,Carbohydrate-rich,Y,N,Y,Y,Y,Y,Y,Y,Y,Minimally Processed,Staple; Side Dish; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
Yuca fries,Vegetables; Oils and fats,Carbohydrate-rich; Fat-rich,N,N,Y,Y,Y,Y,Y,Y,Y,Highly Processed,Side Dish; Snack,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,N
"Casabe, cassava bread",Vegetables; Grains,Carbohydrate-rich,N,N,Y,Y,Y,Y,Y,Y,Y,Processed,Flatbread; Cracker,Neutral,N,N,N,N,N,N,N,N,N,N,N,N
"Taro, cooked",Vegetables,Carbohydrate-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Minimally Processed,Staple; Side Dish; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
Fufu,Grains; Vegetables,Carbohydrate-rich,Y,N,Y,Y,Y,Y,Y,Y,Y,Processed,,Neutral,N,N,N,N,N,N,N,N,N,N,N,N
Taro chips,Vegetables; Oils and fats; Sweets and snacks,Carbohydrate-rich; Fat-rich,N,N,Y,Y,Y,Y,Y,Y,Y,Highly Processed,Snack Chip,Unhealthy,N,N,N,N,N,N,N,N,N,N,N,N
"Beet greens, raw",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Unprocessed,Salad; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Beet greens, cooked",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Minimally Processed,Side Dish; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Broccoli raab, raw",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Unprocessed,Salad; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Broccoli raab, cooked",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Minimally Processed,Side Dish; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Chard, raw",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Unprocessed,Salad; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Chard, cooked",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Minimally Processed,Side Dish; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Collards, raw",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Unprocessed,Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Collards, fresh, cooked, no added fat",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Minimally Processed,Side Dish; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Collards, frozen, cooked, no added fat",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Processed,Side Dish; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Collards, NS as to form, cooked",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Processed,Side Dish; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Collards, fresh, cooked, fat added, NS as to fat type",Vegetables; Oils and fats,Carbohydrate-rich; Vitamin-rich; Mineral-rich; Fat-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Processed,Side Dish,Healthy,N,Variable,N,N,N,N,N,N,N,N,N,N
"Collards, frozen, cooked, fat added, NS as to fat type",Vegetables; Oils and fats,Carbohydrate-rich; Vitamin-rich; Mineral-rich; Fat-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Processed,Side Dish,Healthy,N,Variable,N,N,N,N,N,N,N,N,N,N
"Collards, fresh, cooked with oil",Vegetables; Oils and fats,Carbohydrate-rich; Vitamin-rich; Mineral-rich; Fat-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Processed,Side Dish,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Collards, fresh, cooked with butter or margarine",Vegetables; Oils and fats; Dairy,Carbohydrate-rich; Vitamin-rich; Mineral-rich; Fat-rich,Y,Y,Y,Y,N,Y,Variable,Y,Y,Processed,Side Dish,Moderate,N,Y,N,N,N,N,N,Variable,N,N,N,N
"Collards, frozen, cooked with oil",Vegetables; Oils and fats,Carbohydrate-rich; Vitamin-rich; Mineral-rich; Fat-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Processed,Side Dish,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Collards, frozen, cooked with butter or margarine",Vegetables; Oils and fats; Dairy,Carbohydrate-rich; Vitamin-rich; Mineral-rich; Fat-rich,Y,Y,Y,Y,N,Y,Variable,Y,Y,Processed,Side Dish,Moderate,N,Y,N,N,N,N,N,Variable,N,N,N,N
"Cress, raw",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Unprocessed,Salad; Garnish; Sandwich Filling,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Cress, cooked",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Minimally Processed,Side Dish; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Dandelion greens, raw",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Unprocessed,Salad; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Dandelion greens, cooked",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Minimally Processed,Side Dish; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Romaine lettuce, raw",Vegetables,Carbohydrate-rich; Vitamin-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Unprocessed,Salad Base; Sandwich Filling,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Caesar salad, with romaine, no dressing",Composite Meal; Vegetables; Dairy; Grains,Balanced,Y,Y,N,Y,N,N,Y,Y,N,Processed,Salad Base,Moderate,Y,Y,N,N,N,N,N,N,N,N,N,N
"Escarole, cooked",Vegetables,Carbohydrate-rich; Vitamin-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Minimally Processed,Side Dish; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Greens, fresh, cooked, no added fat",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Minimally Processed,Side Dish; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Greens, frozen, cooked, no added fat",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Processed,Side Dish; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Greens, NS as to form, cooked",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Processed,Side Dish; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Greens, fresh, cooked, fat added",Vegetables; Oils and fats,Carbohydrate-rich; Vitamin-rich; Mineral-rich; Fat-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Processed,Side Dish,Healthy,N,Variable,N,N,N,N,N,N,N,N,N,N
"Greens, frozen, cooked, fat added",Vegetables; Oils and fats,Carbohydrate-rich; Vitamin-rich; Mineral-rich; Fat-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Processed,Side Dish,Healthy,N,Variable,N,N,N,N,N,N,N,N,N,N
"Greens, canned, cooked",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Highly Processed,Side Dish; Ingredient,Moderate,N,N,N,N,N,N,N,N,N,N,N,Variable
"Kale, raw",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Unprocessed,Salad; Smoothie Ingredient; Cooking Green,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Kale, fresh, cooked, no added fat",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Minimally Processed,Side Dish; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Kale, frozen, cooked, no added fat",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Processed,Side Dish; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
"Kale, NS as to form, cooked",Vegetables,Carbohydrate-rich; Vitamin-rich; Mineral-rich,Y,Y,Y,Y,Y,Y,Y,Y,Y,Processed,Side Dish; Ingredient,Healthy,N,N,N,N,N,N,N,N,N,N,N,N
