Alanine (G),"Alcohol, ethyl (G)",Arginine (G),Ash (G),Aspartic acid (G),Beta-sitosterol (MG),Betaine (MG),Caffeine (MG),"Calcium, Ca (MG)",Campesterol (MG),"Carbohydrate, by difference (G)","Carotene, alpha (UG)","Carotene, beta (UG)",Cholesterol (MG),"Choline, total (MG)","Copper, Cu (MG)","Cryptoxanthin, beta (UG)",Cystine (G),Energy (KCAL),"Fatty acids, total monounsaturated (G)","Fatty acids, total polyunsaturated (G)","Fatty acids, total saturated (G)","Fatty acids, total trans (G)","Fatty acids, total trans-monoenoic (G)","Fatty acids, total trans-polyenoic (G)","Fiber, total dietary (G)","Fluoride, F (UG)","Folate, DFE (UG)","Folate, food (UG)","Folate, total (UG)",Folic acid (UG),Fructose (G),Galactose (G),Glucose (G),Glutamic acid (G),Glycine (G),Histidine (G),Hydroxyproline (G),"Iron, Fe (MG)",Isoleucine (G),Lactose (G),Leucine (G),Lutein + zeaxanthin (UG),Lycopene (UG),Lysine (G),MUFA 14:1 (G),MUFA 15:1 (G),MUFA 16:1 (G),MUFA 17:1 (G),MUFA 18:1 (G),MUFA 20:1 (G),MUFA 22:1 (G),MUFA 24:1 (G),"Magnesium, Mg (MG)",Maltose (G),"Manganese, Mn (MG)",Methionine (G),Niacin (MG),PUFA 18:2 (G),PUFA 18:3 (G),PUFA 18:4 (G),PUFA 20:2 (G),PUFA 20:3 (G),PUFA 20:4 (G),PUFA 20:5 (G),PUFA 21:5 (G),PUFA 22:4 (G),PUFA 22:5 (G),PUFA 22:6 (G),PUFA 2:4 (G),Pantothenic acid (MG),Phenylalanine (G),"Phosphorus, P (MG)",Phytosterols (MG),"Potassium, K (MG)",Proline (G),Protein (G),Retinol (UG),Riboflavin (MG),SFA 10:0 (G),SFA 12:0 (G),SFA 13:0 (G),SFA 14:0 (G),SFA 15:0 (G),SFA 16:0 (G),SFA 17:0 (G),SFA 18:0 (G),SFA 20:0 (G),SFA 22:0 (G),SFA 24:0 (G),SFA 4:0 (G),SFA 6:0 (G),SFA 8:0 (G),"Selenium, Se (UG)",Serine (G),"Sodium, Na (MG)",Starch (G),Stigmasterol (MG),Sucrose (G),TFA 16:1 t (G),TFA 18:1 t (G),TFA 22:1 t (G),Theobromine (MG),Thiamin (MG),Threonine (G),Total Sugars (G),Total lipid (fat) (G),Tryptophan (G),Tyrosine (G),Valine (G),"Vitamin A, RAE (UG)",Vitamin B-12 (UG),Vitamin B-6 (MG),"Vitamin C, total ascorbic acid (MG)",Vitamin D (D2 + D3) (UG),Water (G),"Zinc, Zn (MG)",allergens,category,diets,min_age_months,name,weight (G),Vitamin K (UG),Vitamin E (MG),TFA 18:2 t (G),alkalinity Ph (0-14)
0.54,,0.53,5.92,1.16,77.0,,,313.0,6.0,56.63,,26231.0,,48.7,0.37,1083.0,0.17,318.0,2.65,8.44,3.26,,,,34.8,,106.0,106.0,106.0,,,,,1.77,0.44,0.28,,16.32,0.42,,0.74,3488.0,2854.0,0.55,,,,,,,,,152.0,,2.16,0.16,8.7,,,,,,,,,,,,,2.52,0.46,293.0,94.0,1335.0,0.46,12.03,,0.91,,,,,,,,,,,,,,,6.8,0.54,30.0,,11.0,,,,,,0.32,0.38,10.34,17.25,0.15,0.33,0.51,2185.0,,2.45,76.4,,7.74,2.48,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Puya chili (dried),100.0,80.3,29.83,0.002,5.7
0.54,,0.53,5.92,1.16,77.0,,,313.0,6.0,56.63,,26231.0,,48.7,0.37,1083.0,0.17,318.0,2.65,8.44,3.26,,,,34.8,,106.0,106.0,106.0,,,,,1.77,0.44,0.28,,16.32,0.42,,0.74,3488.0,2854.0,0.55,,,,,,,,,152.0,,2.16,0.16,8.7,,,,,,,,,,,,,2.52,0.46,293.0,94.0,1335.0,0.46,12.03,,0.91,,,,,,,,,,,,,,,6.8,0.54,30.0,,11.0,,,,,,0.32,0.38,10.34,17.25,0.15,0.33,0.51,2185.0,,2.45,76.4,,7.74,2.48,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Morita chili (dried),100.0,80.3,29.83,0.002,5.7
0.37,,0.52,11.6,0.81,36.0,,,1890.0,4.0,63.94,,2858.0,,47.9,0.79,,0.09,276.0,0.77,3.25,2.7,,,,37.0,,274.0,274.0,274.0,,,,,1.05,0.42,0.21,,123.6,0.38,,0.65,1320.0,,0.44,,,,,,,,,220.0,,1.72,0.13,4.94,,,,,,,,,,,,,0.41,0.42,201.0,47.0,814.0,0.31,9.11,,0.39,,,,,,,,,,,,,,,4.6,0.42,55.0,,6.0,,,,,,0.08,0.34,1.7,7.49,0.08,0.28,0.46,238.0,,0.36,50.0,,7.86,6.1,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Mexican thyme (dried),100.0,1714.5,7.5,,5.9
1.02,,1.13,9.74,2.05,37.0,,,1139.0,4.0,50.32,,5040.0,,159.9,0.34,,0.25,295.0,1.15,2.5,1.63,,,,23.3,,274.0,274.0,274.0,,,,,2.27,1.01,0.52,,32.3,0.94,,1.58,2150.0,,1.05,,,,,,,,,347.0,,5.6,0.28,2.03,,,,,,,,,,,,,0.98,0.99,302.0,48.0,3020.0,0.94,22.8,,0.33,,,,,,,,,,,,,,,4.5,0.98,262.0,,6.0,,,,,,0.1,0.81,5.75,7.24,0.23,0.77,1.12,420.0,,0.69,50.0,,9.9,3.9,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Mexican mint marigold (dried),100.0,3120.0,6.8,,5.9
,,,,,,,,296.0,,54.4,139.0,8728.0,,101.4,0.37,,,282.0,2.6,7.4,2.2,,,,34.6,,,,130.0,,,,,,,,,17.5,,,,,,,,,,,,,,,179.0,,1.5,,10.3,,,,,,,,,,,,,2.5,,355.0,,1740.0,,13.5,,0.58,,,,,,,,,,,,,,,7.7,,164.0,,,,,,,,0.27,,10.3,13.6,,,,798.0,,2.45,39.5,,8.32,3.7,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Ancho chili,100.0,80.3,1.9,0.002,5.7
,,,,,,,,296.0,,54.4,139.0,8728.0,,101.4,0.37,,,282.0,2.6,7.4,2.2,,,,34.6,,,,130.0,,,,,,,,,17.5,,,,,,,,,,,,,,,179.0,,1.5,,10.3,,,,,,,,,,,,,2.5,,355.0,,1740.0,,13.5,,0.58,,,,,,,,,,,,,,,7.7,,164.0,,,,,,,,0.27,,10.3,13.6,,,,798.0,,2.45,39.5,,8.32,3.7,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Pasilla Mixe (chile pasilla de Oaxaca),100.0,80.3,1.9,0.002,5.7
,,,,,,,,296.0,,54.4,139.0,8728.0,,101.4,0.37,,,282.0,2.6,7.4,2.2,,,,34.6,,,,130.0,,,,,,,,,17.5,,,,,,,,,,,,,,,179.0,,1.5,,10.3,,,,,,,,,,,,,2.5,,355.0,,1740.0,,13.5,,0.58,,,,,,,,,,,,,,,7.7,,164.0,,,,,,,,0.27,,10.3,13.6,,,,798.0,,2.45,39.5,,8.32,3.7,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Guajillo chili,100.0,80.3,1.9,0.002,5.7
,,,,,,,,296.0,,54.4,139.0,8728.0,,101.4,0.37,,,282.0,2.6,7.4,2.2,,,,34.6,,,,130.0,,,,,,,,,17.5,,,,,,,,,,,,,,,179.0,,1.5,,10.3,,,,,,,,,,,,,2.5,,355.0,,1740.0,,13.5,,0.58,,,,,,,,,,,,,,,7.7,,164.0,,,,,,,,0.27,,10.3,13.6,,,,798.0,,2.45,39.5,,8.32,3.7,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Mulato chili,100.0,80.3,1.9,0.002,5.7
,,,,,,,,296.0,,54.4,139.0,8728.0,,101.4,0.37,,,282.0,2.6,7.4,2.2,,,,34.6,,,,130.0,,,,,,,,,17.5,,,,,,,,,,,,,,,179.0,,1.5,,10.3,,,,,,,,,,,,,2.5,,355.0,,1740.0,,13.5,,0.58,,,,,,,,,,,,,,,7.7,,164.0,,,,,,,,0.27,,10.3,13.6,,,,798.0,,2.45,39.5,,8.32,3.7,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Costeño chili,100.0,80.3,1.9,0.002,5.7
,,,6.01,,,,,148.0,,56.6,,2963.0,,46.5,0.353,,,318.0,3.869,9.803,3.204,,,,27.2,,,,106.0,,,,,,,,,7.8,,,,7710.0,,,,,,,,,,,152.0,,1.545,,10.932,,,,,,,,,,,,,2.52,,293.0,,1120.0,,12.0,,0.919,,,,,,,,,,,,,,,11.2,,30.0,,,,,,,,0.328,,10.3,17.3,,,,369.0,,2.45,76.4,,8.05,2.5,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Chilhuacle negro,100.0,105.7,29.8,0.002,5.7
,,,6.01,,,,,148.0,,56.6,,2963.0,,46.5,0.353,,,318.0,3.869,9.803,3.204,,,,27.2,,,,106.0,,,,,,,,,7.8,,,,7710.0,,,,,,,,,,,152.0,,1.545,,10.932,,,,,,,,,,,,,2.52,,293.0,,1120.0,,12.0,,0.919,,,,,,,,,,,,,,,11.2,,30.0,,,,,,,,0.328,,10.3,17.3,,,,369.0,,2.45,76.4,,8.05,2.5,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Chilhuacle rojo,100.0,105.7,29.8,0.002,5.7
,,,6.01,,,,,148.0,,56.6,,2963.0,,46.5,0.353,,,318.0,3.869,9.803,3.204,,,,27.2,,,,106.0,,,,,,,,,7.8,,,,7710.0,,,,,,,,,,,152.0,,1.545,,10.932,,,,,,,,,,,,,2.52,,293.0,,1120.0,,12.0,,0.919,,,,,,,,,,,,,,,11.2,,30.0,,,,,,,,0.328,,10.3,17.3,,,,369.0,,2.45,76.4,,8.05,2.5,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Chipotle,100.0,105.7,29.8,0.002,5.7
,,,6.01,,,,,148.0,,56.6,,2963.0,,46.5,0.353,,,318.0,3.869,9.803,3.204,,,,27.2,,,,106.0,,,,,,,,,7.8,,,,7710.0,,,,,,,,,,,152.0,,1.545,,10.932,,,,,,,,,,,,,2.52,,293.0,,1120.0,,12.0,,0.919,,,,,,,,,,,,,,,11.2,,30.0,,,,,,,,0.328,,10.3,17.3,,,,369.0,,2.45,76.4,,8.05,2.5,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Arbol chili,100.0,105.7,29.8,0.002,5.7
,,,6.6,,,,,294.0,,54.0,,3000.0,,43.1,0.61,,,370.0,9.3,12.5,1.6,,,,19.3,,,,100.0,,,,,,,,,6.7,,,,300.0,,,,,,,,,,,273.0,,0.65,,3.06,,,,,,,,,,,,,0.33,,371.0,,1345.0,,14.8,,0.28,,,,,,,,,,,,,,,13.9,,25.0,,,,,,,,0.17,,,25.1,,,,320.0,,0.04,10.7,,9.5,4.1,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Achiote,100.0,,,0.002,5.7
,,,5.43,,,,,1576.0,,64.42,,3230.0,,15.6,0.623,560.0,,306.0,1.549,4.091,2.76,,,,42.5,,274.0,274.0,274.0,,,,,,,,,36.8,,,,1898.0,,,,,,,,,,,189.0,,4.975,,6.4,,,,,,,,,,,,,0.92,,148.0,,1260.0,,9.0,,0.528,,,,,,,,,,,,,,,4.5,,25.0,,,,,,,,0.177,,4.16,10.25,,,,269.0,,0.283,5.0,,9.9,4.45,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Mexican oregano,100.0,621.7,7.24,,5.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Avocado leaf (dried),100.0,770.6,3.89,,5.9
,,,5.43,,,,,1576.0,,64.42,,3230.0,,15.6,0.623,560.0,,306.0,1.549,4.091,2.76,,,,42.5,,274.0,274.0,274.0,,,,,,,,,36.8,,,,1898.0,,,,,,,,,,,189.0,,4.975,,6.4,,,,,,,,,,,,,0.92,,148.0,,1260.0,,9.0,,0.528,,,,,,,,,,,,,,,4.5,,25.0,,,,,,,,0.177,,4.16,10.25,,,,269.0,,0.283,5.0,,9.9,4.45,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Oregano (Yucatecan),100.0,621.7,7.24,,5.9
,,,4.18,,,,,198.0,,56.63,55.0,24706.0,,34.3,0.573,,,314.0,2.709,9.773,3.26,,,,29.8,,106.0,106.0,106.0,,,,,,,,,10.9,,,,5909.0,5361.0,,,,,,,,,,134.0,,2.144,,10.74,,,,,,,,,,,,,2.47,,280.0,,1965.0,,12.01,,0.926,,,,,,,,,,,,,,,13.9,,30.0,,,,,,,,0.328,,23.59,17.26,,,,2617.0,,3.336,76.4,,9.92,2.7,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Habanero chili (dried),100.0,124.6,29.81,0.002,5.7
,,,1.2,,,,,353.0,,75.8,,2110.0,,,0.6,,,370.0,0.2,0.7,0.4,,,,26.0,,90.0,,90.0,,,,,,,,,6.0,,,,180.0,,,,,,,,,,,384.0,,0.7,,3.0,,,,,,,,,,,,,,,230.0,,1378.0,,13.5,,0.2,,,,,,,,,,,,,,,0.7,,35.0,,,,,,,,0.08,,,1.8,,,,176.0,,0.3,3.0,,7.7,2.4,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Annatto seed,100.0,,,0.002,5.7
,,,16.2,,,,,294.0,,47.9,,18126.0,,105.7,0.528,,,314.0,1.55,6.09,1.95,,,,32.5,,,,106.0,,,,,,,,,12.6,,,,,,,,,,,,,,,150.0,,,,13.92,,,,,,,,,,,,,,,364.0,,1980.0,,12.04,,0.53,,,,,,,,,,,,,,,9.3,,77.0,,,,,,,,0.395,,,12.0,,,,1512.0,,3.73,10.1,,10.9,3.23,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Pasilla chili,100.0,23.3,3.59,0.002,5.7
,,,24.5,,,,,326.0,,42.4,,17590.0,,98.7,0.563,,,289.0,1.48,5.76,1.81,,,,34.2,,,,107.0,,,,,,,,,12.16,,,,,,,,,,,,,,,146.0,,,,13.56,,,,,,,,,,,,,,,321.0,,1950.0,,11.02,,0.477,,,,,,,,,,,,,,,9.4,,65.0,,,,,,,,0.402,,,11.21,,,,1466.0,,3.55,10.1,,10.9,3.2,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Chipotle chili,100.0,22.4,3.48,0.002,5.7
,,,10.0,,,,,2137.0,,60.3,,1770.0,,134.5,0.778,,,293.0,1.34,2.45,2.1,,,,29.8,,,,274.0,,,,,,,,,39.52,,,,399.0,,,,,,,,,,,332.0,,,,5.14,,,,,,,,,,,,,,,386.0,,1774.0,,13.91,,0.796,,,,,,,,,,,,,,,16.8,,39.0,,,,,,,,0.327,,,7.42,,,,148.0,,0.902,37.5,,8.4,4.19,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Herbes de Provence (fusion element),100.0,348.0,4.97,,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yeast breads,"Gluten-Free,Vegan,Vegetarian",6,Breadfruit leaf (dried),100.0,28.9,1.09,,6.0
,,,,,,,,156.0,,6.7,261.0,2893.0,,26.0,0.177,,,42.0,,,,,,,3.7,,108.0,108.0,108.0,,,,,,,,,2.22,,,,1590.0,,,,,,,,,,,47.0,,0.276,,0.817,,,,,,,,,,,,,0.096,,87.0,,600.0,,3.3,,0.463,,,,,,,,,,,,,,,0.7,,3.0,,,,,,,,0.155,,1.1,0.6,,,,241.0,,0.297,45.0,,87.7,0.44,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,"Taro leaf (dried, aromatic)",100.0,10.8,2.27,,6.0
,,,10.9,,,,,2420.0,,47.9,,,,,,,,,,,,,,,16.9,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,433.0,,,,,,,,,,,,,,,,,,,,,1980.0,,21.6,,,,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,2.7,,,,,,,17.5,,,2.1,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,"Noni leaf (dried, traditional)",100.0,770.6,3.89,,5.9
,,,,,,,,840.0,,65.5,,146.0,,35.1,0.701,,,374.0,2.59,3.55,3.2,,,,31.8,,,,48.0,,,,,,,,,12.3,,,,,,,,,,,,,,,163.0,,17.5,,2.05,,,,,,,,,,,,,0.898,,198.0,,1020.0,,7.6,,0.203,,,,,,,,,,,,,,,3.2,,28.0,,,,,,,,0.169,,14.1,11.2,,,,12.0,,0.36,0.8,,7.3,2.47,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Ras el hanout spices (components),100.0,79.5,1.05,,6.2
,,,,,,,,317.0,,56.6,199.0,1851.0,,46.2,0.373,1162.0,,318.0,2.75,8.01,3.25,,,,27.2,,,,106.0,,,,,,,,,7.8,,,,2450.0,,,,,,,,,,,149.0,,3.9,,8.6,,,,,,,,,,,,,2.47,,293.0,,2010.0,,12.0,,0.919,,,,,,,,,,,,,,,11.4,,30.0,,,10.3,,,,,0.328,,10.3,17.3,,,,2081.0,,2.5,76.4,,8.05,2.48,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Piri-piri chili (dried),100.0,80.3,29.8,,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Turmeric leaf (dried),100.0,770.6,3.89,,5.9
,,,,,,,,270.0,,35.0,,,,267.0,1.58,,,374.0,0.17,0.49,0.13,,,,15.7,,320.0,320.0,320.0,,0.04,,0.04,,,,,10.1,,,,,,,,,,,,,,,260.0,,2.7,,2.6,,,,,,,,,,,,,0.37,,610.0,,2230.0,,51.5,,0.28,,,,,,,,,,,,,,,17.5,,14.0,1.14,,10.1,,,,,0.9,,10.2,0.94,,,,,,0.4,,,8.16,4.14,Soybeans,Legumes and Legume Products,"Vegan,Vegetarian",6,Soybean fermented powder (dried),100.0,,,,6.0
,,,,,,,,405.0,,69.9,,1780.0,,,0.77,,,372.0,0.643,3.75,0.704,,,,35.8,,,,104.0,,,,,,,,,29.9,,,,,,,,,,,,,,,244.0,,10.1,,6.22,,,,,,,,,,,,,,,345.0,,1260.0,,12.7,,0.406,,,,,,,,,,,,,,,5.1,,31.0,,,6.12,,,,,0.334,,6.12,6.49,,,,148.0,,0.456,11.1,,7.88,2.13,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Timur (Sichuan pepper),100.0,21.6,11.8,0.002,5.7
,,,,,,,,,,55.0,,,,,,,,250.0,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,8.0,,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Uda seed,100.0,56.3,10.22,0.002,5.7
,,,4.0,,,,,160.0,,17.0,,,,,,,,450.0,,,,,,,8.0,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,500.0,,800.0,,43.0,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,27.0,,,,,,,,,5.0,,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Ogiri-spice aromatics (dried),100.0,56.3,10.22,0.002,5.7
,,,,,,,,238.0,,29.7,,,,,0.58,,,538.0,7.87,31.4,3.84,,,,17.4,,,,108.0,,,,,,,,,4.26,,,,,,,,,,,7.8,,,,371.0,,2.44,,2.05,11.1,19.3,,,,,,,,,,,,,601.0,,594.0,,19.9,,0.18,,,,,,,,,,,,,,,15.3,,10.0,,,3.62,,,,,0.199,,3.62,44.6,,,,,,0.18,,,5.8,3.55,,Nuts and seeds,"Gluten-Free,Vegan,Vegetarian",6,Perilla seed (dried),100.0,13.4,2.78,,6.5
,,,,,,,,,,44.1,,,,,,,,295.0,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3,,,,,,,,,,,,,,,,,,,28800.0,,,,,,,,,,,,,,,,,,,,1.5,,Soybeans,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Soy-based dried seasonings,100.0,0.5,0.07,,11.0
,,,,,,,,82.0,,72.3,,47.0,,,0.28,,,332.0,5.16,6.13,1.05,,,,36.4,,,,73.0,,,,,,,,,10.95,,,,,,,,,,,,,,,82.0,,0.69,,3.65,,,,,,,,,,,,,,,112.0,,805.0,,3.7,,0.17,,,,,,,,,,,,,,,1.0,,16.0,,,,,,,,0.49,,39.8,13.5,,,,4.0,,0.38,10.3,,7.33,0.95,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Juniper berry (dried),100.0,56.3,10.22,0.002,5.7
,,,8.91,,,,,1346.0,,50.64,,,,,0.584,,,292.0,,,,,,,26.7,,,,108.0,,,,,,,,,22.04,,,,,,,,,,,,,,,304.0,,6.845,,8.16,,,,,,,,,,,,,,,542.0,,3968.0,,26.63,,0.528,,,,,,,,,,,,,,,10.3,,160.0,,,,,,,,0.2,,7.21,5.5,,,,421.0,,0.9,120.0,,8.32,3.01,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Angelica leaf (dried),100.0,1640.0,3.89,,5.9
,,,,,,,,395.0,,57.3,,,,,,,,323.0,,,,,,,24.5,,,,,,,,,,,,,33.5,,,,,,,,,,,,,,,191.0,,1.3,,6.4,,,,,,,,,,,,,,,310.0,,1730.0,,23.0,,0.4,,,,,,,,,,,,,,,,,67.0,,,,,,,,0.366,,,6.4,,,,315.0,,0.6,3.0,,8.8,2.8,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Kasuri methi (dried fenugreek leaf),100.0,770.6,3.89,,5.9
0.158,,0.21,2.76,0.383,,,,100.0,,81.3,,1.0,,12.3,0.165,,0.038,348.0,0.235,1.62,0.23,,,,20.0,,38.0,38.0,38.0,,30.06,,30.04,0.638,0.158,0.088,,1.17,0.14,,0.254,17.0,,0.198,,,,,,,,,14.0,,0.231,0.05,0.297,,,,,,,,,,,,,0.528,0.164,140.0,,380.0,0.129,4.11,,0.05,,,,,,,,,,,,,,,1.2,0.177,18.0,,,,,,,,0.046,0.117,60.1,2.44,0.035,0.088,0.183,,,0.14,1.8,,9.39,1.09,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Dry pomegranate seed (anardana),100.0,16.4,0.49,0.002,5.7
1.018,,2.448,,2.99,143.0,,,269.0,5.0,21.55,,,,52.1,1.03,,0.174,579.0,31.55,12.32,3.8,,,,12.5,,44.0,44.0,,,,,,6.843,1.341,0.609,,3.72,0.828,,1.488,,,0.58,,,,,,,,,270.0,,2.18,0.208,3.618,,,,,,,,,,,,,0.469,1.164,481.0,159.0,733.0,1.018,21.15,,1.138,,,,,,,,,,,,,,,4.1,1.082,1.0,,5.0,,,,,,0.2,0.697,4.35,49.93,0.21,0.627,0.963,,,0.143,,,4.7,3.12,"Nuts,Nuts (almonds)",Nuts and seeds,"Gluten-Free,Vegan,Vegetarian",12,Almond powder (aromatic),100.0,,25.63,,6.4
,,,5.17,,,,,148.0,,56.6,,1624.0,,,0.38,,,318.0,3.21,9.77,3.25,,,,28.1,,,,100.0,,,,,,,,,7.8,,,,,,,,,,,,,,,152.0,,2.45,,8.7,,,,,,,,,,,,,,,293.0,,2010.0,,12.0,,0.92,,,,,,,,,,,,,,,10.3,,30.0,,,,,,,,0.33,,10.34,17.3,,,,1340.0,,2.76,76.4,,7.95,2.48,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Kashmiri chili powder,100.0,140.2,29.8,0.002,5.7
,,,4.0,,,,,65.0,,67.8,,,,,0.9,,,297.0,,,0.1,,,,15.6,,,,,,,,,,,,,26.6,,,,,,,,,,,,,,,280.0,,1.0,,0.7,,,,,,,,,,,,,,,50.0,,1130.0,,4.0,,0.03,,,,,,,,,,,,,,,4.7,,50.0,,,,,,,,0.05,,,1.1,,,,,,0.05,,,9.0,0.7,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Asafoetida (dried),100.0,,,0.002,5.7
,,,8.91,,,,,1346.0,,50.64,,,,,0.584,,,292.0,,,,,,,26.7,,,,108.0,,,,,,,,,22.04,,,,,,,,,,,,,,,304.0,,6.845,,8.16,,,,,,,,,,,,,,,542.0,,3968.0,,26.63,,0.528,,,,,,,,,,,,,,,10.3,,160.0,,,,,,,,0.2,,7.21,5.5,,,,421.0,,0.9,120.0,,8.32,3.01,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Culantro (dried),100.0,1640.0,3.89,,5.9
,,,8.91,,,,,1346.0,,50.64,,,,,0.584,,,292.0,,,,,,,26.7,,,,108.0,,,,,,,,,22.04,,,,,,,,,,,,,,,304.0,,6.845,,8.16,,,,,,,,,,,,,,,542.0,,3968.0,,26.63,,0.528,,,,,,,,,,,,,,,10.3,,160.0,,,,,,,,0.2,,7.21,5.5,,,,421.0,,0.9,120.0,,8.32,3.01,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Wild pepper leaf (dried),100.0,1640.0,3.89,,5.9
,,,5.17,,,,,148.0,,56.6,,1624.0,,,0.38,,,318.0,3.21,9.77,3.25,,,,28.1,,,,100.0,,,,,,,,,7.8,,,,,,,,,,,,,,,152.0,,2.45,,8.7,,,,,,,,,,,,,,,293.0,,2010.0,,12.0,,0.92,,,,,,,,,,,,,,,10.3,,30.0,,,,,,,,0.33,,10.34,17.3,,,,1340.0,,2.76,76.4,,7.95,2.48,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Aji amarillo (dried),100.0,140.2,29.8,0.002,5.7
,,,,,,,,296.0,,54.9,,1067.0,,55.4,0.385,,,282.0,2.68,7.08,2.45,,,,34.6,,105.0,,,,,,,,,,,15.6,,,,400.0,,,,,,,,,,,120.0,,2.05,,11.0,,,,,,,,,,,,,,,352.0,,1330.0,,13.5,,0.49,,,,,,,,,,,,,,,6.8,,64.0,,,,,,,,0.3,,10.3,13.9,,,,890.0,,1.51,0.6,,9.2,2.55,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Aji panca (dried),100.0,80.3,10.22,0.002,5.7
,,,,,,,,296.0,,54.9,,1067.0,,55.4,0.385,,,282.0,2.68,7.08,2.45,,,,34.6,,105.0,,,,,,,,,,,15.6,,,,400.0,,,,,,,,,,,120.0,,2.05,,11.0,,,,,,,,,,,,,,,352.0,,1330.0,,13.5,,0.49,,,,,,,,,,,,,,,6.8,,64.0,,,,,,,,0.3,,10.3,13.9,,,,890.0,,1.51,0.6,,9.2,2.55,,Spices and Herbs,"Gluten-Free,Vegan,Vegetarian",6,Aji mirasol (dried),100.0,80.3,10.22,0.002,5.7
